profile,split,prefix_ratio,concurrency,isl,osl,turns,mean_ttft_ms,p99_ttft_ms,mean_itl_ms,p99_itl_ms,std_itl_ms,mean_e2e_latency_ms,p99_e2e_latency_ms,output_throughput_tok_s,request_throughput_rps,prefix_cache_reused_ratio,completed_requests,wall_time_ms
chat,3p_1d,0.6,32,512,256,3,39.99924199000173,66.36127900000042,6.319786055930004,6.489872000000105,0.11238152663273465,1651.5446862516185,1680.5787639999992,4878.732888752979,19.057550346691325,0.6239583333333333,600,76.31575000000001
chat,3p_1d,0.6,128,512,256,3,89.17993665833387,189.411059,7.8822973767909685,8.632312000000184,0.47871315746682347,2099.1657677400062,2233.9799569999973,14419.247230262266,56.32518449321198,0.6239583333333333,600,63.486833000000004
chat,3p_1d,0.9,8,512,256,3,26.322077534998655,40.53255799999988,5.8539465220149385,5.894724000001588,0.023810482721628473,1519.0784406500027,1533.4608839999655,1345.1209777608765,5.254378819378424,0.8735416666666667,600,79.063833
chat,3p_1d,0.9,32,512,256,3,29.910225346666156,48.29449500000055,6.122351364445193,6.287843000000066,0.1102754279545804,1591.1098232783486,1611.2123070000166,5072.713825400618,19.815288380471163,0.8735416666666667,600,64.555666
chat,3p_1d,0.9,128,512,256,3,49.32301561999973,80.72839499999999,7.12937573853779,7.83270100000027,0.42540865091909613,1867.3138289466858,1920.4632369999981,16114.78998663904,62.94839838530875,0.8735416666666667,600,80.685167
chat,2p_2d,0.2,8,512,256,3,46.67030127999878,48.75801,5.858470603914221,5.878284000005806,0.014688247988926454,1540.5803052800388,1542.6680139999978,1329.3691948292992,5.19284841730195,0.24958333333333332,600,84.224459
chat,2p_2d,0.2,32,512,256,3,130.66799266666624,134.355341,6.188305735067983,6.271518000001379,0.06185837789158949,1708.6859551067846,1713.507567000005,4733.303619676435,18.489467264361075,0.24958333333333332,600,72.448709
chat,2p_2d,0.2,128,512,256,3,195.44470473666723,518.6314679999999,7.332624966417105,7.816837000000305,0.33239660012939026,2065.2640711733434,2413.057839999998,14825.71095735539,57.91293342716949,0.24958333333333332,600,75.211292
chat,2p_2d,0.6,8,512,256,3,34.27474654666713,39.315371,5.828856313733713,5.848680000002787,0.01469595076073601,1520.6331065466188,1525.6737310000065,1346.8074522269333,5.260966610261458,0.6239583333333333,600,106.76508299999999
chat,2p_2d,0.6,32,512,256,3,72.8004712666664,78.761966,6.04252329694909,6.124379000000772,0.05973908910213484,1613.6439119867214,1620.3406910000053,5011.17057470754,19.57488505745133,0.6239583333333333,600,63.516458
